!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9317 81.234763
!Global Score: 6546.270428924702
7227.FBpp0298351 9606.ENSP00000386444
7227.FBpp0088527 9606.ENSP00000237530
7227.FBpp0079324 9606.ENSP00000250498
7227.FBpp0080489 9606.ENSP00000341382
7227.FBpp0083153 9606.ENSP00000277541
7227.FBpp0077400 9606.ENSP00000358105
7227.FBpp0083729 9606.ENSP00000359258
7227.FBpp0079711 9606.ENSP00000245046
7227.FBpp0072456 9606.ENSP00000258428
7227.FBpp0077974 9606.ENSP00000355865
7227.FBpp0087119 9606.ENSP00000341538
7227.FBpp0085855 9606.ENSP00000311469
7227.FBpp0088180 9606.ENSP00000234739
7227.FBpp0079454 9606.ENSP00000231887
7227.FBpp0083927 9606.ENSP00000361636
7227.FBpp0078684 9606.ENSP00000392859
7227.FBpp0070794 9606.ENSP00000311827
7227.FBpp0071543 9606.ENSP00000316114
7227.FBpp0081483 9606.ENSP00000351407
7227.FBpp0087705 9606.ENSP00000383199
7227.FBpp0083912 9606.ENSP00000379372
7227.FBpp0085703 9606.ENSP00000371138
7227.FBpp0086314 9606.ENSP00000225298
7227.FBpp0086603 9606.ENSP00000261712
7227.FBpp0074189 9606.ENSP00000361990
7227.FBpp0081445 9606.ENSP00000324897
7227.FBpp0087342 9606.ENSP00000236273
7227.FBpp0075756 9606.ENSP00000320917
7227.FBpp0084743 9606.ENSP00000363162
7227.FBpp0074387 9606.ENSP00000260762
7227.FBpp0081787 9606.ENSP00000286317
7227.FBpp0303193 9606.ENSP00000265773
7227.FBpp0077262 9606.ENSP00000258654
7227.FBpp0070037 9606.ENSP00000304669
7227.FBpp0082793 9606.ENSP00000355140
7227.FBpp0304060 9606.ENSP00000318486
7227.FBpp0082535 9606.ENSP00000267996
7227.FBpp0070537 9606.ENSP00000356587
7227.FBpp0304150 9606.ENSP00000204604
7227.FBpp0079408 9606.ENSP00000303525
7227.FBpp0072130 9606.ENSP00000280154
7227.FBpp0073475 9606.ENSP00000360163
7227.FBpp0303463 9606.ENSP00000229379
7227.FBpp0071603 9606.ENSP00000262948
7227.FBpp0306049 9606.ENSP00000311360
7227.FBpp0074246 9606.ENSP00000370151
7227.FBpp0074686 9606.ENSP00000293288
7227.FBpp0071302 9606.ENSP00000348708
7227.FBpp0084713 9606.ENSP00000393324
7227.FBpp0084345 9606.ENSP00000296277
7227.FBpp0072687 9606.ENSP00000389103
7227.FBpp0076918 9606.ENSP00000380982
7227.FBpp0087907 9606.ENSP00000318775
7227.FBpp0071365 9606.ENSP00000268802
7227.FBpp0084623 9606.ENSP00000325875
7227.FBpp0073445 9606.ENSP00000222005
7227.FBpp0077501 9606.ENSP00000216962
7227.FBpp0303394 9606.ENSP00000367408
7227.FBpp0078162 9606.ENSP00000354251
7227.FBpp0079448 9606.ENSP00000359719
7227.FBpp0083503 9606.ENSP00000330289
7227.FBpp0084565 9606.ENSP00000224784
7227.FBpp0071589 9606.ENSP00000343190
7227.FBpp0289184 9606.ENSP00000298316
7227.FBpp0076666 9606.ENSP00000448059
7227.FBpp0077736 9606.ENSP00000369965
7227.FBpp0302741 9606.ENSP00000341826
7227.FBpp0289882 9606.ENSP00000370200
7227.FBpp0070467 9606.ENSP00000263857
7227.FBpp0073669 9606.ENSP00000284981
7227.FBpp0083399 9606.ENSP00000289081
7227.FBpp0080649 9606.ENSP00000451211
7227.FBpp0071102 9606.ENSP00000364037
7227.FBpp0081580 9606.ENSP00000356480
7227.FBpp0085117 9606.ENSP00000263035
7227.FBpp0083720 9606.ENSP00000359211
7227.FBpp0091055 9606.ENSP00000364855
7227.FBpp0091123 9606.ENSP00000231790
7227.FBpp0302793 9606.ENSP00000252725
7227.FBpp0082356 9606.ENSP00000270066
7227.FBpp0080256 9606.ENSP00000234296
7227.FBpp0073945 9606.ENSP00000274376
7227.FBpp0070636 9606.ENSP00000234626
7227.FBpp0075386 9606.ENSP00000355261
7227.FBpp0301153 9606.ENSP00000314458
7227.FBpp0077401 9606.ENSP00000299424
7227.FBpp0072249 9606.ENSP00000299543
7227.FBpp0111294 9606.ENSP00000342889
7227.FBpp0290840 9606.ENSP00000081029
7227.FBpp0078024 9606.ENSP00000357879
7227.FBpp0075282 9606.ENSP00000317123
7227.FBpp0072468 9606.ENSP00000360532
7227.FBpp0072257 9606.ENSP00000455744
7227.FBpp0077141 9606.ENSP00000252602
7227.FBpp0071993 9606.ENSP00000420714
7227.FBpp0082897 9606.ENSP00000301740
7227.FBpp0088069 9606.ENSP00000418529
7227.FBpp0070620 9606.ENSP00000288050
7227.FBpp0077420 9606.ENSP00000362413
7227.FBpp0083612 9606.ENSP00000305995
7227.FBpp0085954 9606.ENSP00000355465
7227.FBpp0303000 9606.ENSP00000280551
7227.FBpp0072150 9606.ENSP00000254998
7227.FBpp0076848 9606.ENSP00000317159
7227.FBpp0100177 9606.ENSP00000355265
7227.FBpp0078919 9606.ENSP00000339720
7227.FBpp0073673 9606.ENSP00000344055
7227.FBpp0288805 9606.ENSP00000356853
7227.FBpp0072457 9606.ENSP00000297347
7227.FBpp0088256 9606.ENSP00000272102
7227.FBpp0088523 9606.ENSP00000353048
7227.FBpp0081524 9606.ENSP00000259818
7227.FBpp0084418 9606.ENSP00000406084
7227.FBpp0078326 9606.ENSP00000253861
7227.FBpp0072968 9606.ENSP00000295702
7227.FBpp0072050 9606.ENSP00000321259
7227.FBpp0080710 9606.ENSP00000299299
7227.FBpp0091087 9606.ENSP00000341094
7227.FBpp0086226 9606.ENSP00000356022
7227.FBpp0305454 9606.ENSP00000314420
7227.FBpp0085856 9606.ENSP00000248935
7227.FBpp0080729 9606.ENSP00000314499
7227.FBpp0081475 9606.ENSP00000229595
7227.FBpp0079616 9606.ENSP00000411822
7227.FBpp0074613 9606.ENSP00000278816
7227.FBpp0305377 9606.ENSP00000262719
7227.FBpp0091147 9606.ENSP00000371321
7227.FBpp0303190 9606.ENSP00000272233
7227.FBpp0078150 9606.ENSP00000276201
7227.FBpp0300931 9606.ENSP00000325863
7227.FBpp0293442 9606.ENSP00000276072
7227.FBpp0099655 9606.ENSP00000309871
7227.FBpp0079306 9606.ENSP00000223073
7227.FBpp0099583 9606.ENSP00000375872
7227.FBpp0082062 9606.ENSP00000223321
7227.FBpp0301570 9606.ENSP00000289371
7227.FBpp0083893 9606.ENSP00000302160
7227.FBpp0087731 9606.ENSP00000384302
7227.FBpp0085704 9606.ENSP00000286332
7227.FBpp0087343 9606.ENSP00000319341
7227.FBpp0087722 9606.ENSP00000408910
7227.FBpp0079278 9606.ENSP00000384863
7227.FBpp0089084 9606.ENSP00000390783
7227.FBpp0087359 9606.ENSP00000262493
7227.FBpp0083917 9606.ENSP00000298717
7227.FBpp0081481 9606.ENSP00000345206
7227.FBpp0079234 9606.ENSP00000239891
7227.FBpp0304758 9606.ENSP00000335636
7227.FBpp0076232 9606.ENSP00000345702
7227.FBpp0076722 9606.ENSP00000359085
7227.FBpp0074721 9606.ENSP00000263816
7227.FBpp0071490 9606.ENSP00000363571
7227.FBpp0075338 9606.ENSP00000263686
7227.FBpp0078516 9606.ENSP00000260810
7227.FBpp0079907 9606.ENSP00000329623
7227.FBpp0080872 9606.ENSP00000307853
7227.FBpp0072132 9606.ENSP00000373715
7227.FBpp0078598 9606.ENSP00000405575
7227.FBpp0082973 9606.ENSP00000326806
7227.FBpp0085619 9606.ENSP00000349957
7227.FBpp0084564 9606.ENSP00000347271
7227.FBpp0083293 9606.ENSP00000253108
7227.FBpp0303869 9606.ENSP00000299259
7227.FBpp0075982 9606.ENSP00000285398
7227.FBpp0087977 9606.ENSP00000339933
7227.FBpp0071600 9606.ENSP00000360286
7227.FBpp0084040 9606.ENSP00000340896
7227.FBpp0078362 9606.ENSP00000325377
7227.FBpp0290716 9606.ENSP00000455607
7227.FBpp0080297 9606.ENSP00000216484
7227.FBpp0084739 9606.ENSP00000247178
7227.FBpp0077850 9606.ENSP00000326366
7227.FBpp0292527 9606.ENSP00000216027
7227.FBpp0074642 9606.ENSP00000354476
7227.FBpp0071427 9606.ENSP00000349785
7227.FBpp0075861 9606.ENSP00000263083
7227.FBpp0070425 9606.ENSP00000200135
7227.FBpp0077147 9606.ENSP00000380256
7227.FBpp0086223 9606.ENSP00000462664
7227.FBpp0070717 9606.ENSP00000264065
7227.FBpp0072142 9606.ENSP00000296930
7227.FBpp0081124 9606.ENSP00000330694
7227.FBpp0111515 9606.ENSP00000290101
7227.FBpp0080890 9606.ENSP00000295685
7227.FBpp0070624 9606.ENSP00000256897
7227.FBpp0070638 9606.ENSP00000348168
7227.FBpp0073943 9606.ENSP00000323858
7227.FBpp0088033 9606.ENSP00000256442
7227.FBpp0075034 9606.ENSP00000363642
7227.FBpp0077099 9606.ENSP00000241600
7227.FBpp0081527 9606.ENSP00000378160
7227.FBpp0079500 9606.ENSP00000341885
7227.FBpp0088441 9606.ENSP00000339095
7227.FBpp0305858 9606.ENSP00000293842
7227.FBpp0072908 9606.ENSP00000419449
7227.FBpp0079680 9606.ENSP00000301585
7227.FBpp0304260 9606.ENSP00000331901
7227.FBpp0074971 9606.ENSP00000363313
7227.FBpp0075686 9606.ENSP00000364813
7227.FBpp0081378 9606.ENSP00000358622
7227.FBpp0081305 9606.ENSP00000310723
7227.FBpp0071931 9606.ENSP00000359206
7227.FBpp0078532 9606.ENSP00000310040
7227.FBpp0086375 9606.ENSP00000358921
7227.FBpp0081581 9606.ENSP00000386621
7227.FBpp0305904 9606.ENSP00000219169
7227.FBpp0082137 9606.ENSP00000458954
7227.FBpp0087651 9606.ENSP00000249636
7227.FBpp0078918 9606.ENSP00000258424
7227.FBpp0080495 9606.ENSP00000379203
7227.FBpp0078891 9606.ENSP00000262812
7227.FBpp0087251 9606.ENSP00000314343
7227.FBpp0075620 9606.ENSP00000356918
7227.FBpp0084157 9606.ENSP00000380157
7227.FBpp0081153 9606.ENSP00000336799
7227.FBpp0077883 9606.ENSP00000289004
7227.FBpp0087186 9606.ENSP00000452762
7227.FBpp0083132 9606.ENSP00000358042
7227.FBpp0073672 9606.ENSP00000261965
7227.FBpp0075283 9606.ENSP00000366488
7227.FBpp0071123 9606.ENSP00000279036
7227.FBpp0072455 9606.ENSP00000363621
7227.FBpp0086545 9606.ENSP00000352264
7227.FBpp0084110 9606.ENSP00000266069
7227.FBpp0070748 9606.ENSP00000339529
7227.FBpp0091084 9606.ENSP00000423563
7227.FBpp0082667 9606.ENSP00000362768
7227.FBpp0081088 9606.ENSP00000371308
7227.FBpp0075038 9606.ENSP00000290429
7227.FBpp0301208 9606.ENSP00000227507
7227.FBpp0084326 9606.ENSP00000268182
7227.FBpp0084434 9606.ENSP00000262460
7227.FBpp0303219 9606.ENSP00000384675
7227.FBpp0111810 9606.ENSP00000346671
7227.FBpp0110411 9606.ENSP00000350580
7227.FBpp0073310 9606.ENSP00000398698
7227.FBpp0081600 9606.ENSP00000309845
7227.FBpp0290461 9606.ENSP00000354720
7227.FBpp0079000 9606.ENSP00000222567
7227.FBpp0079305 9606.ENSP00000244230
7227.FBpp0087340 9606.ENSP00000356548
7227.FBpp0303728 9606.ENSP00000346027
7227.FBpp0305182 9606.ENSP00000307940
7227.FBpp0078400 9606.ENSP00000362110
7227.FBpp0076723 9606.ENSP00000233468
7227.FBpp0076829 9606.ENSP00000254322
7227.FBpp0082522 9606.ENSP00000290299
7227.FBpp0075683 9606.ENSP00000414982
7227.FBpp0086328 9606.ENSP00000307078
7227.FBpp0074348 9606.ENSP00000249923
7227.FBpp0305314 9606.ENSP00000286548
7227.FBpp0086196 9606.ENSP00000408695
7227.FBpp0087596 9606.ENSP00000264634
7227.FBpp0082483 9606.ENSP00000363018
7227.FBpp0298281 9606.ENSP00000398495
7227.FBpp0071497 9606.ENSP00000337632
7227.FBpp0074326 9606.ENSP00000387699
7227.FBpp0084561 9606.ENSP00000249071
7227.FBpp0112426 9606.ENSP00000288602
7227.FBpp0070363 9606.ENSP00000264657
7227.FBpp0082329 9606.ENSP00000274026
7227.FBpp0085616 9606.ENSP00000402338
7227.FBpp0073471 9606.ENSP00000216802
7227.FBpp0070150 9606.ENSP00000252543
7227.FBpp0071808 9606.ENSP00000377865
7227.FBpp0080003 9606.ENSP00000354558
7227.FBpp0071526 9606.ENSP00000294724
7227.FBpp0071422 9606.ENSP00000278193
7227.FBpp0305828 9606.ENSP00000431605
7227.FBpp0073777 9606.ENSP00000215565
7227.FBpp0074558 9606.ENSP00000350199
7227.FBpp0088945 9606.ENSP00000351926
7227.FBpp0080292 9606.ENSP00000285896
7227.FBpp0076264 9606.ENSP00000305810
7227.FBpp0303150 9606.ENSP00000316854
7227.FBpp0078510 9606.ENSP00000309092
7227.FBpp0085888 9606.ENSP00000323377
7227.FBpp0076558 9606.ENSP00000357998
7227.FBpp0082970 9606.ENSP00000347942
7227.FBpp0086895 9606.ENSP00000360664
7227.FBpp0086370 9606.ENSP00000359539
7227.FBpp0304375 9606.ENSP00000216392
7227.FBpp0077665 9606.ENSP00000246062
7227.FBpp0078167 9606.ENSP00000470609
7227.FBpp0075399 9606.ENSP00000257904
7227.FBpp0083284 9606.ENSP00000258042
7227.FBpp0071023 9606.ENSP00000318313
7227.FBpp0303082 9606.ENSP00000318944
7227.FBpp0080214 9606.ENSP00000356671
7227.FBpp0088443 9606.ENSP00000276431
7227.FBpp0078831 9606.ENSP00000367220
7227.FBpp0100124 9606.ENSP00000314067
7227.FBpp0074665 9606.ENSP00000269321
7227.FBpp0076487 9606.ENSP00000346300
7227.FBpp0088179 9606.ENSP00000399982
7227.FBpp0077451 9606.ENSP00000341268
7227.FBpp0074970 9606.ENSP00000320503
7227.FBpp0071822 9606.ENSP00000302530
7227.FBpp0087704 9606.ENSP00000217402
7227.FBpp0073828 9606.ENSP00000346236
7227.FBpp0075104 9606.ENSP00000420227
7227.FBpp0075068 9606.ENSP00000215071
7227.FBpp0305835 9606.ENSP00000350708
7227.FBpp0083687 9606.ENSP00000295901
7227.FBpp0080733 9606.ENSP00000250495
7227.FBpp0077011 9606.ENSP00000358335
7227.FBpp0076859 9606.ENSP00000428209
7227.FBpp0079443 9606.ENSP00000215956
7227.FBpp0079328 9606.ENSP00000435777
7227.FBpp0079780 9606.ENSP00000317992
7227.FBpp0080894 9606.ENSP00000378350
7227.FBpp0083625 9606.ENSP00000370589
7227.FBpp0086531 9606.ENSP00000356001
7227.FBpp0070709 9606.ENSP00000296786
7227.FBpp0080578 9606.ENSP00000370222
7227.FBpp0083134 9606.ENSP00000244520
7227.FBpp0082682 9606.ENSP00000270202
7227.FBpp0304573 9606.ENSP00000345096
7227.FBpp0080395 9606.ENSP00000371278
7227.FBpp0301099 9606.ENSP00000306881
7227.FBpp0071128 9606.ENSP00000392709
7227.FBpp0292847 9606.ENSP00000306003
7227.FBpp0087010 9606.ENSP00000006101
7227.FBpp0077218 9606.ENSP00000264538
7227.FBpp0082346 9606.ENSP00000381293
7227.FBpp0077410 9606.ENSP00000317714
7227.FBpp0084115 9606.ENSP00000378307
7227.FBpp0071235 9606.ENSP00000323967
7227.FBpp0079595 9606.ENSP00000360149
7227.FBpp0110403 9606.ENSP00000336655
7227.FBpp0088153 9606.ENSP00000381097
7227.FBpp0085295 9606.ENSP00000374529
7227.FBpp0075999 9606.ENSP00000387471
7227.FBpp0082134 9606.ENSP00000358918
7227.FBpp0081185 9606.ENSP00000468633
7227.FBpp0076746 9606.ENSP00000223095
7227.FBpp0087863 9606.ENSP00000345412
7227.FBpp0111799 9606.ENSP00000387356
7227.FBpp0082427 9606.ENSP00000229390
7227.FBpp0091145 9606.ENSP00000348020
7227.FBpp0078993 9606.ENSP00000356694
7227.FBpp0082433 9606.ENSP00000388648
7227.FBpp0304751 9606.ENSP00000272645
7227.FBpp0304829 9606.ENSP00000302478
7227.FBpp0087347 9606.ENSP00000288828
7227.FBpp0073623 9606.ENSP00000262584
7227.FBpp0305426 9606.ENSP00000354580
7227.FBpp0079304 9606.ENSP00000229238
7227.FBpp0291448 9606.ENSP00000216774
7227.FBpp0305180 9606.ENSP00000307272
7227.FBpp0086965 9606.ENSP00000372093
7227.FBpp0111817 9606.ENSP00000338020
7227.FBpp0072246 9606.ENSP00000300688
7227.FBpp0078353 9606.ENSP00000299601
7227.FBpp0082692 9606.ENSP00000254480
7227.FBpp0073290 9606.ENSP00000340019
7227.FBpp0070333 9606.ENSP00000359848
7227.FBpp0078951 9606.ENSP00000368119
7227.FBpp0070409 9606.ENSP00000307525
7227.FBpp0079908 9606.ENSP00000357051
7227.FBpp0071354 9606.ENSP00000321334
7227.FBpp0080261 9606.ENSP00000338272
7227.FBpp0074325 9606.ENSP00000288699
7227.FBpp0081812 9606.ENSP00000280704
7227.FBpp0075801 9606.ENSP00000379500
7227.FBpp0110210 9606.ENSP00000408295
7227.FBpp0071529 9606.ENSP00000376440
7227.FBpp0077230 9606.ENSP00000262315
7227.FBpp0080146 9606.ENSP00000263238
7227.FBpp0071248 9606.ENSP00000302486
7227.FBpp0078316 9606.ENSP00000261600
7227.FBpp0289142 9606.ENSP00000228307
7227.FBpp0072691 9606.ENSP00000356602
7227.FBpp0087085 9606.ENSP00000389182
7227.FBpp0075865 9606.ENSP00000371101
7227.FBpp0304503 9606.ENSP00000346046
7227.FBpp0303680 9606.ENSP00000349722
7227.FBpp0081029 9606.ENSP00000344936
7227.FBpp0082652 9606.ENSP00000433757
7227.FBpp0290910 9606.ENSP00000265381
7227.FBpp0080010 9606.ENSP00000234396
7227.FBpp0304299 9606.ENSP00000221232
7227.FBpp0072453 9606.ENSP00000323720
7227.FBpp0072177 9606.ENSP00000369703
7227.FBpp0083440 9606.ENSP00000232607
7227.FBpp0083206 9606.ENSP00000409007
7227.FBpp0303347 9606.ENSP00000333633
7227.FBpp0111805 9606.ENSP00000387536
7227.FBpp0077773 9606.ENSP00000339850
7227.FBpp0305795 9606.ENSP00000337797
7227.FBpp0099851 9606.ENSP00000314151
7227.FBpp0085411 9606.ENSP00000335632
7227.FBpp0091117 9606.ENSP00000322180
7227.FBpp0304252 9606.ENSP00000400175
7227.FBpp0305946 9606.ENSP00000251849
7227.FBpp0072425 9606.ENSP00000295899
7227.FBpp0088035 9606.ENSP00000355656
7227.FBpp0086505 9606.ENSP00000261245
7227.FBpp0082353 9606.ENSP00000369391
7227.FBpp0075277 9606.ENSP00000271452
7227.FBpp0085744 9606.ENSP00000262133
7227.FBpp0086400 9606.ENSP00000270586
7227.FBpp0080490 9606.ENSP00000362334
7227.FBpp0300874 9606.ENSP00000216225
7227.FBpp0071846 9606.ENSP00000414321
7227.FBpp0086103 9606.ENSP00000222247
7227.FBpp0304265 9606.ENSP00000346012
7227.FBpp0072957 9606.ENSP00000401450
7227.FBpp0074575 9606.ENSP00000265094
7227.FBpp0302051 9606.ENSP00000366565
7227.FBpp0071744 9606.ENSP00000261637
7227.FBpp0085902 9606.ENSP00000227524
7227.FBpp0084729 9606.ENSP00000199320
7227.FBpp0086705 9606.ENSP00000436049
7227.FBpp0071994 9606.ENSP00000240327
7227.FBpp0300826 9606.ENSP00000317468
7227.FBpp0078893 9606.ENSP00000222214
7227.FBpp0292529 9606.ENSP00000236959
7227.FBpp0099922 9606.ENSP00000297494
7227.FBpp0077016 9606.ENSP00000221138
7227.FBpp0075069 9606.ENSP00000203407
7227.FBpp0305832 9606.ENSP00000356972
7227.FBpp0083022 9606.ENSP00000326534
7227.FBpp0070295 9606.ENSP00000362948
7227.FBpp0111743 9606.ENSP00000281928
7227.FBpp0070471 9606.ENSP00000360183
7227.FBpp0085829 9606.ENSP00000279281
7227.FBpp0072145 9606.ENSP00000263864
7227.FBpp0083683 9606.ENSP00000317334
7227.FBpp0083624 9606.ENSP00000310189
7227.FBpp0111689 9606.ENSP00000271640
7227.FBpp0301280 9606.ENSP00000352138
7227.FBpp0075139 9606.ENSP00000206542
7227.FBpp0071024 9606.ENSP00000344942
7227.FBpp0084133 9606.ENSP00000303145
7227.FBpp0086590 9606.ENSP00000418287
7227.FBpp0087712 9606.ENSP00000390011
7227.FBpp0088883 9606.ENSP00000306561
7227.FBpp0081882 9606.ENSP00000286428
7227.FBpp0305909 9606.ENSP00000384018
7227.FBpp0083415 9606.ENSP00000450710
7227.FBpp0082089 9606.ENSP00000412189
7227.FBpp0082079 9606.ENSP00000307567
7227.FBpp0086694 9606.ENSP00000384144
7227.FBpp0289824 9606.ENSP00000253792
7227.FBpp0078992 9606.ENSP00000258774
7227.FBpp0079870 9606.ENSP00000448165
7227.FBpp0110174 9606.ENSP00000278616
7227.FBpp0304140 9606.ENSP00000259808
7227.FBpp0290602 9606.ENSP00000267163
7227.FBpp0082445 9606.ENSP00000244496
7227.FBpp0300988 9606.ENSP00000245539
7227.FBpp0081488 9606.ENSP00000225426
7227.FBpp0076822 9606.ENSP00000325677
7227.FBpp0076152 9606.ENSP00000302896
7227.FBpp0073844 9606.ENSP00000274242
7227.FBpp0079536 9606.ENSP00000339795
7227.FBpp0291433 9606.ENSP00000372155
7227.FBpp0086640 9606.ENSP00000367439
7227.FBpp0074285 9606.ENSP00000385638
7227.FBpp0100010 9606.ENSP00000264954
7227.FBpp0083851 9606.ENSP00000316032
7227.FBpp0087861 9606.ENSP00000345895
7227.FBpp0085380 9606.ENSP00000254508
7227.FBpp0082568 9606.ENSP00000355629
7227.FBpp0304827 9606.ENSP00000251412
7227.FBpp0111766 9606.ENSP00000333496
7227.FBpp0304793 9606.ENSP00000340330
7227.FBpp0085204 9606.ENSP00000353458
7227.FBpp0071359 9606.ENSP00000233242
7227.FBpp0080510 9606.ENSP00000313007
7227.FBpp0077788 9606.ENSP00000312455
7227.FBpp0113081 9606.ENSP00000252996
7227.FBpp0290882 9606.ENSP00000265335
7227.FBpp0080015 9606.ENSP00000212015
7227.FBpp0087637 9606.ENSP00000037243
7227.FBpp0078278 9606.ENSP00000348442
7227.FBpp0083371 9606.ENSP00000429374
7227.FBpp0289746 9606.ENSP00000451261
7227.FBpp0076917 9606.ENSP00000258772
7227.FBpp0079542 9606.ENSP00000341247
7227.FBpp0071503 9606.ENSP00000375809
7227.FBpp0071532 9606.ENSP00000420914
7227.FBpp0079472 9606.ENSP00000285093
7227.FBpp0302807 9606.ENSP00000337053
7227.FBpp0077790 9606.ENSP00000305958
7227.FBpp0073228 9606.ENSP00000389649
7227.FBpp0077859 9606.ENSP00000266544
7227.FBpp0072693 9606.ENSP00000357048
7227.FBpp0078315 9606.ENSP00000231668
7227.FBpp0078729 9606.ENSP00000298937
7227.FBpp0076339 9606.ENSP00000334100
7227.FBpp0304097 9606.ENSP00000379133
7227.FBpp0304747 9606.ENSP00000408236
7227.FBpp0304504 9606.ENSP00000331057
7227.FBpp0085546 9606.ENSP00000312697
7227.FBpp0076858 9606.ENSP00000360473
7227.FBpp0077342 9606.ENSP00000265838
7227.FBpp0289986 9606.ENSP00000230124
7227.FBpp0297103 9606.ENSP00000335560
7227.FBpp0304598 9606.ENSP00000369424
7227.FBpp0076224 9606.ENSP00000248553
7227.FBpp0087317 9606.ENSP00000376952
7227.FBpp0076840 9606.ENSP00000419325
7227.FBpp0091078 9606.ENSP00000263681
7227.FBpp0091141 9606.ENSP00000420176
7227.FBpp0072539 9606.ENSP00000228945
7227.FBpp0091051 9606.ENSP00000354945
7227.FBpp0112092 9606.ENSP00000307684
7227.FBpp0305104 9606.ENSP00000301730
7227.FBpp0113099 9606.ENSP00000353864
7227.FBpp0080322 9606.ENSP00000375977
7227.FBpp0074847 9606.ENSP00000405726
7227.FBpp0081156 9606.ENSP00000421592
7227.FBpp0293527 9606.ENSP00000350941
7227.FBpp0084103 9606.ENSP00000288207
7227.FBpp0080211 9606.ENSP00000350698
7227.FBpp0077213 9606.ENSP00000340691
7227.FBpp0304449 9606.ENSP00000253023
7227.FBpp0088692 9606.ENSP00000331201
7227.FBpp0085585 9606.ENSP00000393241
7227.FBpp0099686 9606.ENSP00000379888
7227.FBpp0110439 9606.ENSP00000272418
7227.FBpp0087118 9606.ENSP00000266735
7227.FBpp0305943 9606.ENSP00000261531
7227.FBpp0077778 9606.ENSP00000263694
7227.FBpp0086289 9606.ENSP00000370023
7227.FBpp0086061 9606.ENSP00000343745
7227.FBpp0083717 9606.ENSP00000379144
7227.FBpp0100179 9606.ENSP00000354632
7227.FBpp0074979 9606.ENSP00000247866
7227.FBpp0079999 9606.ENSP00000272238
7227.FBpp0076483 9606.ENSP00000262013
7227.FBpp0074512 9606.ENSP00000273064
7227.FBpp0076818 9606.ENSP00000362481
7227.FBpp0302978 9606.ENSP00000380888
7227.FBpp0077022 9606.ENSP00000450731
7227.FBpp0081401 9606.ENSP00000258091
7227.FBpp0079233 9606.ENSP00000354649
7227.FBpp0084161 9606.ENSP00000295770
7227.FBpp0086591 9606.ENSP00000286398
7227.FBpp0288780 9606.ENSP00000251496
7227.FBpp0290525 9606.ENSP00000348657
7227.FBpp0081412 9606.ENSP00000310623
7227.FBpp0074693 9606.ENSP00000374357
7227.FBpp0085104 9606.ENSP00000352929
7227.FBpp0297876 9606.ENSP00000305288
7227.FBpp0072159 9606.ENSP00000259021
7227.FBpp0081576 9606.ENSP00000330945
7227.FBpp0091129 9606.ENSP00000366618
7227.FBpp0087939 9606.ENSP00000234111
7227.FBpp0081856 9606.ENSP00000456434
7227.FBpp0085367 9606.ENSP00000366604
7227.FBpp0305184 9606.ENSP00000297338
7227.FBpp0073652 9606.ENSP00000252486
7227.FBpp0082078 9606.ENSP00000378191
7227.FBpp0087867 9606.ENSP00000362082
7227.FBpp0083857 9606.ENSP00000364699
7227.FBpp0297069 9606.ENSP00000241261
7227.FBpp0086881 9606.ENSP00000301019
7227.FBpp0070933 9606.ENSP00000369899
7227.FBpp0082767 9606.ENSP00000259873
7227.FBpp0078354 9606.ENSP00000375730
7227.FBpp0078997 9606.ENSP00000304151
7227.FBpp0070911 9606.ENSP00000216911
7227.FBpp0112656 9606.ENSP00000318868
7227.FBpp0078372 9606.ENSP00000245934
7227.FBpp0076134 9606.ENSP00000348205
7227.FBpp0083570 9606.ENSP00000252711
7227.FBpp0271901 9606.ENSP00000330737
7227.FBpp0079813 9606.ENSP00000359939
7227.FBpp0304648 9606.ENSP00000354588
7227.FBpp0087348 9606.ENSP00000261168
7227.FBpp0304792 9606.ENSP00000379616
7227.FBpp0091149 9606.ENSP00000352442
7227.FBpp0292725 9606.ENSP00000265428
7227.FBpp0076748 9606.ENSP00000361850
7227.FBpp0293662 9606.ENSP00000376506
7227.FBpp0303867 9606.ENSP00000264169
7227.FBpp0112403 9606.ENSP00000262056
7227.FBpp0074509 9606.ENSP00000254940
7227.FBpp0076330 9606.ENSP00000346987
7227.FBpp0075807 9606.ENSP00000296509
7227.FBpp0078694 9606.ENSP00000354525
7227.FBpp0081822 9606.ENSP00000346001
7227.FBpp0089217 9606.ENSP00000273783
7227.FBpp0082314 9606.ENSP00000440485
7227.FBpp0082019 9606.ENSP00000332604
7227.FBpp0078667 9606.ENSP00000429931
7227.FBpp0078093 9606.ENSP00000265854
7227.FBpp0071533 9606.ENSP00000307697
7227.FBpp0075663 9606.ENSP00000327197
7227.FBpp0079266 9606.ENSP00000267197
7227.FBpp0085224 9606.ENSP00000217109
7227.FBpp0100183 9606.ENSP00000360492
7227.FBpp0304248 9606.ENSP00000418842
7227.FBpp0304028 9606.ENSP00000445508
7227.FBpp0304506 9606.ENSP00000296255
7227.FBpp0079219 9606.ENSP00000373474
7227.FBpp0078227 9606.ENSP00000267750
7227.FBpp0076883 9606.ENSP00000361186
7227.FBpp0074373 9606.ENSP00000295709
7227.FBpp0075439 9606.ENSP00000363641
7227.FBpp0083533 9606.ENSP00000421380
7227.FBpp0080095 9606.ENSP00000376946
7227.FBpp0081848 9606.ENSP00000443246
