!Alpha: 0.700000!Shared Interactions vs Total Sequence Similarity: 9549 75.261419
!Global Score: 6706.878425825009
4932.YLR028C 7227.FBpp0290556
4932.YMR142C 7227.FBpp0079484
4932.YFL002C 7227.FBpp0081355
4932.YBR154C 7227.FBpp0304268
4932.YHR141C 7227.FBpp0304202
4932.YLR340W 7227.FBpp0110439
4932.YBR065C 7227.FBpp0084638
4932.YPR132W 7227.FBpp0076238
4932.YPR041W 7227.FBpp0078667
4932.YOR122C 7227.FBpp0304792
4932.YDR362C 7227.FBpp0086911
4932.YLL042C 7227.FBpp0301731
4932.YJL179W 7227.FBpp0078822
4932.YHR104W 7227.FBpp0076017
4932.YKL140W 7227.FBpp0290352
4932.YPR069C 7227.FBpp0087122
4932.YJR088C 7227.FBpp0082819
4932.YAR002C-A 7227.FBpp0081576
4932.YKL059C 7227.FBpp0078372
4932.YPL227C 7227.FBpp0079234
4932.YAL029C 7227.FBpp0088684
4932.YDL240W 7227.FBpp0300897
4932.YNL202W 7227.FBpp0113095
4932.YLR384C 7227.FBpp0081896
4932.YGR140W 7227.FBpp0289915
4932.YDL147W 7227.FBpp0078278
4932.YDL007W 7227.FBpp0083906
4932.YOR167C 7227.FBpp0071295
4932.YPR178W 7227.FBpp0074971
4932.YKR024C 7227.FBpp0074214
4932.YDL102W 7227.FBpp0075277
4932.YGL244W 7227.FBpp0071731
4932.YML114C 7227.FBpp0113081
4932.YML069W 7227.FBpp0083273
4932.YKL173W 7227.FBpp0084626
4932.YOR064C 7227.FBpp0077259
4932.YDL065C 7227.FBpp0072103
4932.YJR042W 7227.FBpp0083604
4932.YPR070W 7227.FBpp0087251
4932.YBL067C 7227.FBpp0083704
4932.YMR231W 7227.FBpp0070045
4932.YCL017C 7227.FBpp0079874
4932.YBR288C 7227.FBpp0304594
4932.YDL188C 7227.FBpp0084574
4932.YKL041W 7227.FBpp0078598
4932.YKL148C 7227.FBpp0087484
4932.YLR038C 7227.FBpp0072975
4932.YLR395C 7227.FBpp0078918
4932.YGL097W 7227.FBpp0076782
4932.YGR214W 7227.FBpp0082994
4932.YGR145W 7227.FBpp0075865
4932.YGL031C 7227.FBpp0080102
4932.YBR191W 7227.FBpp0303728
4932.YDL150W 7227.FBpp0074902
4932.YJR063W 7227.FBpp0083564
4932.YDR392W 7227.FBpp0289298
4932.YEL026W 7227.FBpp0079443
4932.YNL273W 7227.FBpp0078978
4932.YGL103W 7227.FBpp0078354
4932.YIR009W 7227.FBpp0078624
4932.YGL004C 7227.FBpp0070709
4932.YPL064C 7227.FBpp0075761
4932.YLR185W 7227.FBpp0076872
4932.YOR312C 7227.FBpp0086705
4932.YDR386W 7227.FBpp0086520
4932.YGL194C 7227.FBpp0091153
4932.YIL022W 7227.FBpp0076224
4932.YOR347C 7227.FBpp0083612
4932.YML085C 7227.FBpp0081565
4932.YDL195W 7227.FBpp0072340
4932.YLR381W 7227.FBpp0290815
4932.YPL194W 7227.FBpp0080752
4932.YOR368W 7227.FBpp0113097
4932.YAL024C 7227.FBpp0083749
4932.YBR091C 7227.FBpp0085489
4932.YMR083W 7227.FBpp0084964
4932.YDR128W 7227.FBpp0071994
4932.YDR086C 7227.FBpp0087119
4932.YGL127C 7227.FBpp0078496
4932.YDR027C 7227.FBpp0079409
4932.YNR046W 7227.FBpp0077965
4932.YJR024C 7227.FBpp0304097
4932.YDR103W 7227.FBpp0087728
4932.YGL237C 7227.FBpp0076232
4932.YHR128W 7227.FBpp0086069
4932.YKL025C 7227.FBpp0072861
4932.YEL030W 7227.FBpp0086694
4932.YNR007C 7227.FBpp0074822
4932.YNL288W 7227.FBpp0074512
4932.YJL024C 7227.FBpp0072061
4932.YML019W 7227.FBpp0084801
4932.YGL205W 7227.FBpp0079454
4932.YJR082C 7227.FBpp0080103
4932.YKL141W 7227.FBpp0074979
4932.YPL078C 7227.FBpp0076134
4932.Q0080 7227.FBpp0072246
4932.Q0250 7227.FBpp0080836
4932.YJL041W 7227.FBpp0086294
4932.YHL031C 7227.FBpp0074326
4932.YML088W 7227.FBpp0072446
4932.YOR145C 7227.FBpp0084191
4932.YBR136W 7227.FBpp0084766
4932.YPR056W 7227.FBpp0077650
4932.YPR010C 7227.FBpp0077714
4932.YPL153C 7227.FBpp0081957
4932.YNL245C 7227.FBpp0077396
4932.YOL034W 7227.FBpp0080452
4932.YBR169C 7227.FBpp0084623
4932.YLR304C 7227.FBpp0075634
4932.YER093C 7227.FBpp0074458
4932.YNL304W 7227.FBpp0088904
4932.YOR020C 7227.FBpp0082377
4932.YGR003W 7227.FBpp0074575
4932.YLL021W 7227.FBpp0303190
4932.YLR163C 7227.FBpp0100176
4932.YKL055C 7227.FBpp0074285
4932.YPL089C 7227.FBpp0290878
4932.YGL248W 7227.FBpp0073809
4932.YLR056W 7227.FBpp0088436
4932.YLR070C 7227.FBpp0271767
4932.YGR217W 7227.FBpp0089047
4932.YBR254C 7227.FBpp0075246
4932.YMR109W 7227.FBpp0079064
4932.YEL038W 7227.FBpp0289893
4932.YDR477W 7227.FBpp0070208
4932.YGL094C 7227.FBpp0087735
4932.YPR004C 7227.FBpp0087186
4932.YLR295C 7227.FBpp0075626
4932.YDR381W 7227.FBpp0072150
4932.YDR485C 7227.FBpp0079735
4932.YLR147C 7227.FBpp0087094
4932.YGR063C 7227.FBpp0086953
4932.YML015C 7227.FBpp0079514
4932.YPR019W 7227.FBpp0070654
4932.YLR182W 7227.FBpp0078024
4932.YOR249C 7227.FBpp0073018
4932.YFL003C 7227.FBpp0290461
4932.YER038C 7227.FBpp0076320
4932.YNL007C 7227.FBpp0078604
4932.YDR050C 7227.FBpp0084948
4932.YBL080C 7227.FBpp0075318
4932.YLR208W 7227.FBpp0071670
4932.YFL038C 7227.FBpp0081600
4932.YDR412W 7227.FBpp0072142
4932.YGR179C 7227.FBpp0271847
4932.YBR133C 7227.FBpp0074525
4932.YDL066W 7227.FBpp0073010
4932.YMR026C 7227.FBpp0082541
4932.YNL221C 7227.FBpp0070748
4932.YDR234W 7227.FBpp0081736
4932.YOR304W 7227.FBpp0080489
4932.YPR111W 7227.FBpp0079448
4932.YML028W 7227.FBpp0075397
4932.YMR118C 7227.FBpp0081848
4932.YER017C 7227.FBpp0074025
4932.YLR066W 7227.FBpp0293581
4932.YDR486C 7227.FBpp0305334
4932.YDR377W 7227.FBpp0079104
4932.YHR026W 7227.FBpp0100179
4932.YKL057C 7227.FBpp0082998
4932.YFL008W 7227.FBpp0073083
4932.YEL054C 7227.FBpp0082513
4932.YOL041C 7227.FBpp0080510
4932.YNL178W 7227.FBpp0083802
4932.YHR169W 7227.FBpp0087645
4932.YOR294W 7227.FBpp0076738
4932.YDR156W 7227.FBpp0087085
4932.YCL054W 7227.FBpp0073943
4932.YPR137W 7227.FBpp0090943
4932.YMR128W 7227.FBpp0070403
4932.YPL093W 7227.FBpp0087637
4932.YIL061C 7227.FBpp0303792
4932.YDR364C 7227.FBpp0083581
4932.YDL043C 7227.FBpp0082817
4932.YPL003W 7227.FBpp0304449
4932.YGL058W 7227.FBpp0304648
4932.YDR214W 7227.FBpp0085258
4932.YGR192C 7227.FBpp0077420
4932.YPR160W 7227.FBpp0077501
4932.YOL126C 7227.FBpp0289824
4932.YBL037W 7227.FBpp0088945
4932.YNL049C 7227.FBpp0305866
4932.YNL039W 7227.FBpp0303033
4932.YBL103C 7227.FBpp0074642
4932.YDR308C 7227.FBpp0112462
4932.YIL125W 7227.FBpp0305416
4932.Q0120 7227.FBpp0305911
4932.YMR294W 7227.FBpp0087722
4932.YDL097C 7227.FBpp0086603
4932.YKL099C 7227.FBpp0071194
4932.YBR135W 7227.FBpp0079399
4932.YMR036C 7227.FBpp0080412
4932.YGR002C 7227.FBpp0073572
4932.YDL081C 7227.FBpp0088833
4932.YPL164C 7227.FBpp0099655
4932.YKL018W 7227.FBpp0091066
4932.YDR201W 7227.FBpp0091137
4932.YPL281C 7227.FBpp0081370
4932.YHL019C 7227.FBpp0297159
4932.YPL049C 7227.FBpp0071475
4932.YER159C 7227.FBpp0080629
4932.YML112W 7227.FBpp0088273
4932.YDL120W 7227.FBpp0289999
4932.YEL013W 7227.FBpp0088181
4932.YOL138C 7227.FBpp0087897
4932.YHR086W 7227.FBpp0072593
4932.YOL100W 7227.FBpp0075283
4932.YGL025C 7227.FBpp0085609
4932.YKL184W 7227.FBpp0087939
4932.YIL008W 7227.FBpp0084157
4932.YLR006C 7227.FBpp0077011
4932.YHL022C 7227.FBpp0297182
4932.YJL154C 7227.FBpp0071685
4932.YHR171W 7227.FBpp0085891
4932.YPL120W 7227.FBpp0083975
4932.YKL197C 7227.FBpp0075519
4932.YGR132C 7227.FBpp0080707
4932.YDL160C 7227.FBpp0079565
4932.YML026C 7227.FBpp0089424
4932.YJL011C 7227.FBpp0082590
4932.YDR311W 7227.FBpp0086676
4932.YPL031C 7227.FBpp0084786
4932.YJR053W 7227.FBpp0083926
4932.YMR125W 7227.FBpp0075676
4932.YKL022C 7227.FBpp0112985
4932.YJR068W 7227.FBpp0301208
4932.YOR236W 7227.FBpp0110210
4932.YKL135C 7227.FBpp0074558
4932.YGR167W 7227.FBpp0290037
4932.YDL141W 7227.FBpp0289511
4932.YLR337C 7227.FBpp0074529
4932.YFL016C 7227.FBpp0077665
4932.YBR215W 7227.FBpp0304907
4932.YOL086C 7227.FBpp0086775
4932.YNR051C 7227.FBpp0084418
4932.YHR079C 7227.FBpp0080729
4932.YKL117W 7227.FBpp0081560
4932.YJR119C 7227.FBpp0085204
4932.YMR033W 7227.FBpp0293225
4932.YCL033C 7227.FBpp0081772
4932.YOR089C 7227.FBpp0079943
4932.YDL077C 7227.FBpp0083022
4932.YLR396C 7227.FBpp0303585
4932.YHR069C 7227.FBpp0072020
4932.YEL027W 7227.FBpp0305828
4932.YLR438C-A 7227.FBpp0083893
4932.YNL147W 7227.FBpp0080488
4932.YMR168C 7227.FBpp0303082
4932.YBR231C 7227.FBpp0085546
4932.YOR056C 7227.FBpp0071365
4932.YPL082C 7227.FBpp0290929
4932.YBL004W 7227.FBpp0071744
4932.YIL148W 7227.FBpp0088360
4932.YGR013W 7227.FBpp0293269
4932.YIL144W 7227.FBpp0091149
4932.YDR419W 7227.FBpp0078142
4932.YMR216C 7227.FBpp0290874
4932.YPR007C 7227.FBpp0078131
4932.YJL034W 7227.FBpp0081956
4932.YBR084W 7227.FBpp0081741
4932.YLR058C 7227.FBpp0081703
4932.YOL133W 7227.FBpp0078592
4932.YLR032W 7227.FBpp0075663
4932.YDL070W 7227.FBpp0073385
4932.YDR004W 7227.FBpp0289914
4932.YDR312W 7227.FBpp0084669
4932.YLR398C 7227.FBpp0082406
4932.YML075C 7227.FBpp0070963
4932.YOR217W 7227.FBpp0303867
4932.YGL124C 7227.FBpp0111515
4932.YGL133W 7227.FBpp0084818
4932.YOR213C 7227.FBpp0076635
4932.YER022W 7227.FBpp0070295
4932.YPR168W 7227.FBpp0305737
4932.YER098W 7227.FBpp0305952
4932.YDR434W 7227.FBpp0070795
4932.YMR224C 7227.FBpp0300931
4932.YIL035C 7227.FBpp0110433
4932.YKL130C 7227.FBpp0074387
4932.YJL141C 7227.FBpp0289737
4932.YCR093W 7227.FBpp0293496
4932.YOR103C 7227.FBpp0079324
4932.YLR192C 7227.FBpp0303118
4932.YLR025W 7227.FBpp0087704
4932.YPR036W 7227.FBpp0100183
4932.YDL185W 7227.FBpp0075203
4932.YDR298C 7227.FBpp0082522
4932.YIL111W 7227.FBpp0297136
4932.YGL048C 7227.FBpp0076890
4932.YFL017W-A 7227.FBpp0074660
4932.YGR074W 7227.FBpp0074151
4932.YPL081W 7227.FBpp0081845
4932.YHR088W 7227.FBpp0079946
4932.YDR448W 7227.FBpp0099776
4932.YLR399C 7227.FBpp0303193
4932.YNR006W 7227.FBpp0070483
4932.YPL116W 7227.FBpp0070891
4932.YDL130W 7227.FBpp0291447
4932.YBR143C 7227.FBpp0087475
4932.YJL130C 7227.FBpp0088675
4932.YHR018C 7227.FBpp0289058
4932.YKR097W 7227.FBpp0077342
4932.YJR066W 7227.FBpp0070933
4932.YOR168W 7227.FBpp0084240
4932.YML077W 7227.FBpp0078413
4932.YDL136W 7227.FBpp0290743
4932.YJR135C 7227.FBpp0290525
4932.YBR077C 7227.FBpp0081333
4932.YGL256W 7227.FBpp0086239
4932.YCR083W 7227.FBpp0075344
4932.YHR005C-A 7227.FBpp0071593
4932.YIL068C 7227.FBpp0085888
4932.YBL063W 7227.FBpp0086328
4932.YPL037C 7227.FBpp0077736
4932.YKL189W 7227.FBpp0075117
4932.YDL029W 7227.FBpp0100124
4932.YGL231C 7227.FBpp0078227
4932.YDL165W 7227.FBpp0080292
4932.YPR173C 7227.FBpp0074278
4932.YKL009W 7227.FBpp0082984
4932.YOL012C 7227.FBpp0084434
4932.YJL191W 7227.FBpp0300615
4932.YAR007C 7227.FBpp0070911
4932.YBR202W 7227.FBpp0088033
4932.YOR319W 7227.FBpp0070859
4932.YOR038C 7227.FBpp0288856
4932.YER025W 7227.FBpp0072908
4932.YNL162W 7227.FBpp0073947
4932.YPR164W 7227.FBpp0075938
4932.YPL183W-A 7227.FBpp0293210
4932.YKL052C 7227.FBpp0091081
4932.YPR107C 7227.FBpp0091115
4932.YLL024C 7227.FBpp0082106
4932.YLR359W 7227.FBpp0082816
4932.YNL241C 7227.FBpp0074517
4932.YEL011W 7227.FBpp0086845
4932.YNL006W 7227.FBpp0071303
4932.YPR029C 7227.FBpp0071232
4932.YPL242C 7227.FBpp0293728
4932.YER059W 7227.FBpp0088375
4932.YNR026C 7227.FBpp0081839
4932.YPL048W 7227.FBpp0085852
4932.YGR056W 7227.FBpp0304412
4932.YAL033W 7227.FBpp0075046
4932.YMR203W 7227.FBpp0110179
4932.YMR169C 7227.FBpp0070087
4932.YGR163W 7227.FBpp0087883
4932.YDR439W 7227.FBpp0099478
4932.YDL111C 7227.FBpp0086348
4932.YLR113W 7227.FBpp0083966
4932.YDR376W 7227.FBpp0087272
4932.YPL252C 7227.FBpp0292527
4932.YBR130C 7227.FBpp0083413
4932.YEL002C 7227.FBpp0071279
4932.YPR031W 7227.FBpp0088092
4932.YGL049C 7227.FBpp0071497
4932.YNL118C 7227.FBpp0072132
4932.YOR106W 7227.FBpp0075166
4932.YKL021C 7227.FBpp0074509
4932.YDR237W 7227.FBpp0081322
4932.YPR135W 7227.FBpp0081317
4932.YHR170W 7227.FBpp0086063
4932.YIL091C 7227.FBpp0072119
4932.YNL113W 7227.FBpp0111294
4932.YBL035C 7227.FBpp0083516
4932.YJR052W 7227.FBpp0070638
4932.YPL235W 7227.FBpp0074756
4932.YPL151C 7227.FBpp0073459
4932.YOR083W 7227.FBpp0075265
4932.YMR193W 7227.FBpp0078415
4932.YLR069C 7227.FBpp0078896
4932.YJL052W 7227.FBpp0074988
4932.YDL021W 7227.FBpp0082089
4932.YDR490C 7227.FBpp0305420
4932.YIL033C 7227.FBpp0079677
4932.YGR061C 7227.FBpp0078850
4932.YER105C 7227.FBpp0085380
4932.YPR046W 7227.FBpp0081124
4932.YBR182C 7227.FBpp0110403
4932.YDL226C 7227.FBpp0071945
4932.YPL190C 7227.FBpp0300515
4932.YPL040C 7227.FBpp0073204
4932.YPL020C 7227.FBpp0074462
4932.YOR156C 7227.FBpp0087651
4932.YBR258C 7227.FBpp0074516
4932.YLR370C 7227.FBpp0072097
4932.YLR291C 7227.FBpp0070457
4932.YDR270W 7227.FBpp0271765
4932.YBL078C 7227.FBpp0071427
4932.YLR417W 7227.FBpp0075560
4932.YBR048W 7227.FBpp0076207
4932.YJR123W 7227.FBpp0074180
4932.YBR142W 7227.FBpp0085616
4932.YDL108W 7227.FBpp0070723
4932.YGL043W 7227.FBpp0304751
4932.YPR166C 7227.FBpp0305426
4932.YDL076C 7227.FBpp0091060
4932.YDR168W 7227.FBpp0072660
4932.YML098W 7227.FBpp0080872
4932.YKR058W 7227.FBpp0071468
4932.YKL213C 7227.FBpp0075751
4932.YER020W 7227.FBpp0305314
4932.YPL138C 7227.FBpp0071262
4932.YNR016C 7227.FBpp0076375
4932.YJR010C-A 7227.FBpp0086627
4932.YKL207W 7227.FBpp0079711
4932.YDR020C 7227.FBpp0288805
4932.YJL128C 7227.FBpp0081378
4932.YNL232W 7227.FBpp0079813
4932.YLR318W 7227.FBpp0073648
4932.YNL259C 7227.FBpp0303150
4932.YDR221W 7227.FBpp0080551
4932.YER178W 7227.FBpp0079072
4932.YGL190C 7227.FBpp0081665
4932.YBL099W 7227.FBpp0305168
4932.YPL169C 7227.FBpp0073267
4932.YMR235C 7227.FBpp0080775
4932.YPL001W 7227.FBpp0087402
4932.YNL069C 7227.FBpp0077885
4932.YPL256C 7227.FBpp0070894
4932.YPL011C 7227.FBpp0088355
4932.YEL032W 7227.FBpp0304607
4932.YER102W 7227.FBpp0110412
4932.YOL117W 7227.FBpp0071954
4932.YMR260C 7227.FBpp0082019
4932.YOR057W 7227.FBpp0081351
4932.YLR026C 7227.FBpp0071571
4932.YNL262W 7227.FBpp0289620
4932.YDR359C 7227.FBpp0085367
4932.YNL138W 7227.FBpp0083937
4932.YJL054W 7227.FBpp0074419
4932.YDR440W 7227.FBpp0079251
4932.YCL032W 7227.FBpp0305215
4932.YNL103W 7227.FBpp0078427
4932.YGR133W 7227.FBpp0294003
4932.YIL030C 7227.FBpp0087583
4932.YJR065C 7227.FBpp0085365
4932.YLR234W 7227.FBpp0080787
4932.YGL040C 7227.FBpp0305549
4932.YER081W 7227.FBpp0079809
4932.YLR284C 7227.FBpp0083227
4932.YEL018W 7227.FBpp0304793
4932.YPL002C 7227.FBpp0083533
4932.YOR332W 7227.FBpp0082464
4932.YDR178W 7227.FBpp0289099
4932.YFR033C 7227.FBpp0297878
4932.YNL139C 7227.FBpp0088483
4932.YOR098C 7227.FBpp0081584
4932.YPL211W 7227.FBpp0084082
4932.YPR110C 7227.FBpp0078633
4932.YJR090C 7227.FBpp0292914
4932.YDR225W 7227.FBpp0091105
4932.YPL220W 7227.FBpp0077099
4932.YPL131W 7227.FBpp0079880
4932.YKL113C 7227.FBpp0080803
4932.YDR409W 7227.FBpp0078993
4932.YJL143W 7227.FBpp0076182
4932.YJR064W 7227.FBpp0087095
4932.YDR049W 7227.FBpp0078473
4932.YOR297C 7227.FBpp0081856
4932.YGR102C 7227.FBpp0099758
4932.YKR082W 7227.FBpp0087536
4932.YIL112W 7227.FBpp0074851
4932.YKR036C 7227.FBpp0293232
4932.YNL041C 7227.FBpp0087676
4932.YAR003W 7227.FBpp0077900
4932.YBR175W 7227.FBpp0079266
4932.YHR008C 7227.FBpp0086226
4932.YOR250C 7227.FBpp0084842
4932.YDR301W 7227.FBpp0089163
4932.YNL054W 7227.FBpp0112244
4932.YPL195W 7227.FBpp0073673
4932.YKR059W 7227.FBpp0297911
4932.YGR244C 7227.FBpp0073781
4932.YGR206W 7227.FBpp0078424
4932.YJL166W 7227.FBpp0073995
4932.YMR308C 7227.FBpp0079527
4932.YLR421C 7227.FBpp0075772
4932.YGR271W 7227.FBpp0071449
4932.YJR145C 7227.FBpp0075618
4932.YBL026W 7227.FBpp0075686
4932.YDL031W 7227.FBpp0072475
4932.YGL112C 7227.FBpp0074709
4932.YOR341W 7227.FBpp0086640
4932.YKL144C 7227.FBpp0303920
4932.YOR151C 7227.FBpp0082353
4932.YOR257W 7227.FBpp0304876
4932.YHR065C 7227.FBpp0080997
4932.YDL014W 7227.FBpp0071892
4932.YPL012W 7227.FBpp0073679
4932.YNL031C 7227.FBpp0091154
4932.YDL132W 7227.FBpp0087921
4932.YJL033W 7227.FBpp0304812
4932.YIL046W 7227.FBpp0300874
4932.YGR027C 7227.FBpp0086013
4932.YIR005W 7227.FBpp0076723
4932.YMR268C 7227.FBpp0086101
4932.YGL099W 7227.FBpp0070409
4932.YNL064C 7227.FBpp0076829
4932.YPR026W 7227.FBpp0079060
4932.YKL045W 7227.FBpp0077899
4932.YNL271C 7227.FBpp0082490
4932.YDR388W 7227.FBpp0088692
4932.YDR180W 7227.FBpp0110411
4932.YHR023W 7227.FBpp0073682
4932.YDR108W 7227.FBpp0088818
4932.YKR008W 7227.FBpp0088268
4932.YGR277C 7227.FBpp0076826
4932.YLR015W 7227.FBpp0084040
4932.YHR193C 7227.FBpp0086971
4932.YLR148W 7227.FBpp0070259
4932.YDR280W 7227.FBpp0074129
4932.YER118C 7227.FBpp0080111
4932.YLR153C 7227.FBpp0085821
4932.YLR314C 7227.FBpp0087869
4932.YBR217W 7227.FBpp0082957
4932.YDR227W 7227.FBpp0077427
4932.YML092C 7227.FBpp0082062
4932.YLR048W 7227.FBpp0303680
4932.YDR418W 7227.FBpp0072083
4932.YBR010W 7227.FBpp0091112
4932.YOR159C 7227.FBpp0079182
4932.YBR114W 7227.FBpp0099904
4932.YLL008W 7227.FBpp0087865
4932.YJL157C 7227.FBpp0077041
4932.YJL076W 7227.FBpp0304511
4932.YFR031C-A 7227.FBpp0081822
4932.YEL061C 7227.FBpp0091147
4932.YNL220W 7227.FBpp0290803
4932.YBR196C 7227.FBpp0087760
4932.YML057W 7227.FBpp0085094
4932.YDR217C 7227.FBpp0088035
4932.YLR221C 7227.FBpp0087663
4932.YNL079C 7227.FBpp0080611
4932.YPL085W 7227.FBpp0072056
4932.YOR221C 7227.FBpp0088517
4932.YKL205W 7227.FBpp0080616
4932.YDL051W 7227.FBpp0290490
4932.YIL097W 7227.FBpp0084110
4932.YMR264W 7227.FBpp0074189
4932.YGL233W 7227.FBpp0083436
4932.YOR245C 7227.FBpp0078786
4932.YJR104C 7227.FBpp0305736
4932.YHR111W 7227.FBpp0079295
4932.YPL231W 7227.FBpp0085460
4932.YCR086W 7227.FBpp0070455
4932.YER048W-A 7227.FBpp0070415
4932.YPR072W 7227.FBpp0078390
4932.YMR077C 7227.FBpp0300826
4932.YKL016C 7227.FBpp0084907
4932.YOL127W 7227.FBpp0072687
4932.YLR075W 7227.FBpp0306039
4932.YNL312W 7227.FBpp0070729
4932.YBR009C 7227.FBpp0091051
4932.YCR031C 7227.FBpp0086269
4932.YEL056W 7227.FBpp0082511
4932.YDL155W 7227.FBpp0084103
4932.YOR061W 7227.FBpp0081650
4932.YCR063W 7227.FBpp0073316
4932.YNR037C 7227.FBpp0081599
4932.YJL090C 7227.FBpp0079417
4932.YDR382W 7227.FBpp0305165
4932.YDR337W 7227.FBpp0076215
4932.YJR007W 7227.FBpp0078532
4932.YBL097W 7227.FBpp0289797
4932.YML023C 7227.FBpp0074298
4932.YMR186W 7227.FBpp0084076
4932.YPL106C 7227.FBpp0292999
4932.YDR258C 7227.FBpp0081552
4932.YDR019C 7227.FBpp0079697
4932.YPR184W 7227.FBpp0071526
4932.YPL262W 7227.FBpp0083588
4932.YDR001C 7227.FBpp0084919
4932.YKL126W 7227.FBpp0303635
4932.YBL076C 7227.FBpp0078150
4932.YKL060C 7227.FBpp0087977
4932.YLR449W 7227.FBpp0305034
4932.YLR357W 7227.FBpp0076831
4932.YKL104C 7227.FBpp0070914
4932.YLR116W 7227.FBpp0084463
4932.YNL053W 7227.FBpp0303122
4932.YGL179C 7227.FBpp0074373
4932.YML105C 7227.FBpp0076589
4932.YOL021C 7227.FBpp0072388
4932.YOR260W 7227.FBpp0086469
4932.YBR019C 7227.FBpp0072455
4932.YBR121C 7227.FBpp0075386
4932.YGL212W 7227.FBpp0075124
4932.YHR129C 7227.FBpp0088018
4932.YOR327C 7227.FBpp0303456
4932.YER146W 7227.FBpp0076756
4932.YLR103C 7227.FBpp0086519
4932.YLL004W 7227.FBpp0081004
4932.YDR378C 7227.FBpp0086749
4932.YLR406C 7227.FBpp0304879
4932.YKL210W 7227.FBpp0305371
4932.YMR217W 7227.FBpp0112945
4932.YIR027C 7227.FBpp0074325
4932.YGR204W 7227.FBpp0070792
4932.YJL010C 7227.FBpp0078996
4932.YDR118W 7227.FBpp0079115
4932.YLR126C 7227.FBpp0081476
4932.YLL003W 7227.FBpp0074679
4932.YDR329C 7227.FBpp0078162
4932.YOL081W 7227.FBpp0072539
4932.YLR378C 7227.FBpp0074514
4932.YOL135C 7227.FBpp0081787
4932.YDR469W 7227.FBpp0079701
4932.YCR024C 7227.FBpp0083969
4932.YPL253C 7227.FBpp0288393
4932.YNL329C 7227.FBpp0099935
4932.YOR014W 7227.FBpp0082978
4932.YML025C 7227.FBpp0080401
4932.YHR164C 7227.FBpp0113035
4932.YOL040C 7227.FBpp0078416
4932.YHL001W 7227.FBpp0076359
4932.YLL034C 7227.FBpp0086647
4932.YDR365C 7227.FBpp0070205
4932.YNL002C 7227.FBpp0087511
4932.YNL248C 7227.FBpp0074115
4932.YGR103W 7227.FBpp0082574
4932.YKL156W 7227.FBpp0079500
4932.YNL177C 7227.FBpp0081860
4932.YOR182C 7227.FBpp0086098
4932.YOR179C 7227.FBpp0091131
4932.YLR007W 7227.FBpp0087280
4932.YOR128C 7227.FBpp0073538
4932.YJL137C 7227.FBpp0291743
4932.YMR043W 7227.FBpp0084549
4932.YEL039C 7227.FBpp0086341
4932.YML042W 7227.FBpp0086769
4932.YDL090C 7227.FBpp0082737
4932.YAL047C 7227.FBpp0074544
4932.YNL126W 7227.FBpp0073672
4932.YNL161W 7227.FBpp0085082
4932.YDL205C 7227.FBpp0072572
4932.YOL049W 7227.FBpp0083729
4932.YBL105C 7227.FBpp0111810
4932.YBR080C 7227.FBpp0082346
4932.YIL042C 7227.FBpp0111805
4932.YDR041W 7227.FBpp0071771
4932.YER094C 7227.FBpp0081488
4932.YDR450W 7227.FBpp0304265
4932.YGL189C 7227.FBpp0080641
4932.YPR066W 7227.FBpp0305700
4932.YMR201C 7227.FBpp0075807
4932.YOL145C 7227.FBpp0072561
4932.YIL143C 7227.FBpp0075982
4932.YKL028W 7227.FBpp0075839
4932.YOR210W 7227.FBpp0078086
4932.YCR057C 7227.FBpp0087322
4932.YJR043C 7227.FBpp0078348
4932.YIL133C 7227.FBpp0077141
4932.YFR032C-A 7227.FBpp0078584
4932.YIL026C 7227.FBpp0301153
4932.YDR054C 7227.FBpp0087127
4932.YDR023W 7227.FBpp0080148
4932.YNL214W 7227.FBpp0302981
4932.YPR186C 7227.FBpp0305365
4932.YIL113W 7227.FBpp0071422
4932.YDR411C 7227.FBpp0077489
4932.YNL098C 7227.FBpp0305023
4932.YDL217C 7227.FBpp0074536
4932.YMR313C 7227.FBpp0080607
4932.YLR193C 7227.FBpp0289521
4932.YNL267W 7227.FBpp0111766
4932.YLL035W 7227.FBpp0086393
4932.YGL026C 7227.FBpp0083774
4932.YLR369W 7227.FBpp0073445
4932.YIL034C 7227.FBpp0077549
4932.YJL031C 7227.FBpp0078483
4932.YPL247C 7227.FBpp0077060
4932.YMR149W 7227.FBpp0088527
4932.YNR043W 7227.FBpp0072560
4932.YDR189W 7227.FBpp0089084
4932.YHR039C-A 7227.FBpp0079709
4932.YKL068W 7227.FBpp0304467
4932.YOR195W 7227.FBpp0076227
4932.YER021W 7227.FBpp0291495
4932.YDL191W 7227.FBpp0070766
4932.YER117W 7227.FBpp0072094
4932.YJL115W 7227.FBpp0074715
4932.YLR079W 7227.FBpp0073035
4932.YOR310C 7227.FBpp0078997
4932.YPR144C 7227.FBpp0070561
4932.YER111C 7227.FBpp0083419
4932.YBR060C 7227.FBpp0087566
4932.YGR091W 7227.FBpp0075395
4932.YJR094W-A 7227.FBpp0290840
4932.YBR146W 7227.FBpp0070650
4932.YDR299W 7227.FBpp0083989
4932.YJR045C 7227.FBpp0081986
4932.YAL038W 7227.FBpp0083611
4932.YKL152C 7227.FBpp0084753
4932.YOL090W 7227.FBpp0076330
4932.YMR276W 7227.FBpp0086578
4932.YMR067C 7227.FBpp0085836
4932.YOR136W 7227.FBpp0076311
